INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE IDEAL,DEFA,ANO,FASE
6.776,5.0,6.5,7.3,8.3,5.6,6.844000000000001,7.208,Fase 6 (2º EM),-2,22,4.0
8.063,10.0,7.6,9.8,7.1,5.6,8.130000000000006,7.5,Fase 4 (9º ano),0,22,4.0
8.253,10.0,8.1,9.0,9.2,6.3,7.746000000000004,7.542,Fase 4 (9º ano),0,22,4.0
7.798,5.0,7.9,9.7,9.2,5.6,7.314000000000007,7.833,Fase 6 (2º EM),-2,22,4.0
6.917,5.0,5.9,8.3,7.9,6.3,7.403999999999993,7.083,Fase 5 (1º EM),-1,22,4.0
5.159,5.0,3.2,5.1,7.5,6.3,6.605999999999996,4.792,Fase 5 (1º EM),-1,22,4.0
7.007,10.0,4.9,9.2,8.3,5.6,6.385999999999994,5.792,Fase 4 (9º ano),0,22,4.0
6.581,5.0,5.5,6.8,7.5,7.5,7.460000000000004,6.875,Fase 6 (2º EM),-2,22,4.0
8.673,10.0,7.3,8.9,9.2,9.4,7.895999999999992,8.917,Fase 4 (9º ano),0,22,4.0
7.816,2.5,7.9,9.2,8.3,6.9,7.759999999999989,9.25,Fase 7 (3º EM),-3,22,4.0
6.075,5.0,4.4,6.2,7.9,7.5,7.065999999999999,6.042,Fase 5 (1º EM),-1,22,4.0
6.75,5.0,5.9,9.2,8.3,5.6,6.734000000000009,5.833,Fase 5 (1º EM),-1,22,4.0
8.427,10.0,6.9,9.1,9.6,5.6,8.903999999999996,9.083,Fase 3 (7º e 8º ano),0,22,3.0
7.424,10.0,6.8,8.8,7.9,4.4,6.823999999999986,6.958,Fase 3 (7º e 8º ano),0,22,3.0
7.025,10.0,6.3,8.8,0.0,4.4,8.734000000000002,8.458,Fase 3 (7º e 8º ano),0,22,3.0
7.993,10.0,6.1,9.2,7.5,7.5,8.246000000000002,8.042,Fase 3 (7º e 8º ano),0,22,3.0
8.442,10.0,8.1,8.3,9.2,6.3,8.870000000000005,8.625,Fase 3 (7º e 8º ano),0,22,3.0
8.623,10.0,6.8,9.5,9.2,8.8,8.713999999999986,8.458,Fase 3 (7º e 8º ano),0,22,3.0
6.328,2.5,4.1,8.0,7.5,7.5,7.664,6.958,Fase 6 (2º EM),-3,22,3.0
7.3,10.0,3.8,8.8,8.3,7.5,7.499999999999991,7.25,Fase 3 (7º e 8º ano),0,22,3.0
7.28,2.5,7.2,7.7,8.8,7.5,8.199999999999994,8.0,Fase 6 (2º EM),-3,22,3.0
6.615,5.0,4.5,7.7,7.9,7.5,7.599999999999998,6.875,Fase 5 (1º EM),-2,22,3.0
7.832,10.0,6.6,8.5,8.3,7.5,7.319999999999993,7.5,Fase 3 (7º e 8º ano),0,22,3.0
7.928,10.0,5.8,8.9,8.8,7.5,7.745999999999995,7.917,Fase 3 (7º e 8º ano),0,22,3.0
5.307,5.0,2.7,6.1,0.0,7.5,7.804000000000002,7.583,Fase 4 (9º ano),-1,22,3.0
7.629,5.0,7.2,9.7,10.0,5.0,7.823999999999991,7.333,Fase 4 (9º ano),-1,22,3.0
7.335,10.0,6.3,6.9,6.7,8.8,6.950000000000003,7.25,Fase 3 (7º e 8º ano),0,22,3.0
8.74,10.0,7.2,9.4,10.0,8.8,8.399999999999999,8.5,Fase 3 (7º e 8º ano),0,22,3.0
4.932,5.0,2.7,3.6,8.8,7.5,6.003999999999996,4.708,Fase 5 (1º EM),-2,22,3.0
8.155,10.0,6.7,8.9,9.2,5.6,8.549999999999995,8.5,Fase 3 (7º e 8º ano),0,22,3.0
4.265,5.0,3.2,6.2,0.0,5.0,6.349999999999993,3.75,Fase 4 (9º ano),-1,22,3.0
8.017,10.0,6.3,9.2,8.8,5.0,8.869999999999996,8.25,Fase 3 (7º e 8º ano),0,22,3.0
8.124,10.0,5.1,9.1,9.2,7.5,8.890000000000011,8.625,Fase 3 (7º e 8º ano),0,22,3.0
8.218,10.0,7.3,9.7,8.8,4.4,8.39599999999999,8.292,Fase 3 (7º e 8º ano),0,22,3.0
5.554,10.0,4.6,6.2,0.0,5.0,7.023999999999999,5.958,Fase 3 (7º e 8º ano),0,22,3.0
7.564,10.0,7.5,7.1,8.3,7.5,7.724000000000002,6.458,Fase 3 (7º e 8º ano),0,22,3.0
5.705,5.0,5.5,5.6,7.9,4.4,7.716000000000003,4.917,Fase 5 (1º EM),-2,22,3.0
7.078,5.0,6.5,7.3,7.9,7.5,7.696000000000005,7.542,Fase 5 (1º EM),-2,22,3.0
5.201,5.0,5.4,5.2,0.0,4.4,7.575999999999992,6.917,Fase 4 (9º ano),-1,22,3.0
