DEFAS,PORTUG,MATEM,INGLÊS,INDE_22,IPS,IEG,IDA,IPV,IAA,IAN,FASE,TURMA,ANO_INGRESSO,INSTITUIÇÃO_DE_ENSINO,PEDRA_22
-1,9.0,0.0,6.3,6.575,7.5,7.4,4.5,7.556,8.0,5.0,1,C,2022,Escola Pública,Ágata
0,3.5,5.0,6.3,6.243,5.0,7.3,4.3,5.833,6.7,10.0,5,K,2022,Escola Pública,Ágata
-1,2.5,1.8,4.5,5.323,5.0,4.2,3.0,6.389,9.2,5.0,7,A,2016,Escola Pública,Quartzo
-2,8.0,5.5,6.3,7.308,7.5,8.6,6.8,7.556,8.5,5.0,1,R,2022,Escola Pública,Ametista
-2,5.7,0.2,6.3,5.249,3.8,5.8,2.9,6.722,8.0,5.0,2,A,2018,Escola JP II,Quartzo
0,8.9,9.4,6.3,8.65,8.1,9.2,9.2,8.583,8.5,10.0,0,A,2022,Escola Pública,Topázio
0,7.0,5.7,3.4,7.501,5.6,8.2,5.4,7.875,8.3,10.0,4,B,2016,Rede Decisão,Ametista
0,5.2,5.7,4.2,7.44,7.5,8.2,5.0,6.458,10.0,10.0,3,G,2019,Escola Pública,Ametista
-1,2.3,1.0,0.5,4.563,5.0,3.8,1.3,5.542,7.5,5.0,3,G,2019,Escola Pública,Quartzo
0,4.4,8.5,9.7,7.605,7.5,6.4,7.5,7.333,8.8,10.0,6,A,2021,Escola Pública,Ametista
0,7.5,6.7,8.5,8.465,7.5,8.8,7.6,8.458,9.2,10.0,3,C,2021,Escola Pública,Topázio
-2,6.8,4.0,6.3,6.777,6.3,7.7,5.4,7.333,9.0,5.0,2,I,2017,Escola Pública,Ágata
-2,3.5,5.0,6.3,4.87,7.5,6.1,4.3,5.125,0.0,5.0,3,C,2022,Escola Pública,Quartzo
-2,5.0,5.8,6.3,7.232,7.5,9.3,5.4,7.667,9.5,5.0,0,Q,2022,Escola Pública,Ametista
-2,5.0,6.0,6.3,6.596,7.5,6.8,5.5,6.417,8.8,5.0,5,K,2022,Escola Pública,Ágata
-1,6.0,7.3,6.3,6.525,7.5,8.1,6.7,5.417,8.9,5.0,0,G,2022,Escola Pública,Ágata
-2,7.7,4.2,6.3,6.9,7.5,7.4,5.9,7.167,9.5,5.0,2,B,2020,Escola Pública,Ágata
-1,7.2,6.8,6.3,7.303,5.6,9.5,7.0,7.5,8.5,5.0,1,F,2019,Escola Pública,Ametista
0,4.2,3.0,1.8,5.672,7.5,5.1,3.0,5.056,6.7,10.0,3,N,2022,Escola Pública,Quartzo
-1,5.8,5.6,6.3,6.976,7.5,7.9,5.7,7.25,10.0,5.0,0,K,2022,Escola Pública,Ágata
-1,5.3,2.7,2.3,4.44,7.5,5.1,3.4,4.417,0.0,5.0,3,C,2022,Escola Pública,Quartzo
-2,6.3,5.3,7.2,7.022,5.6,8.1,6.3,6.625,10.0,5.0,3,G,2018,Escola Pública,Ágata
0,8.0,7.0,6.3,8.0,7.5,9.6,7.5,7.333,7.4,10.0,1,D,2022,Escola Pública,Ametista
-1,9.5,8.5,6.3,8.058,5.6,9.2,9.0,9.167,9.5,5.0,0,J,2022,Escola Pública,Ametista
-1,8.2,6.5,6.3,7.556,7.5,9.0,7.3,7.778,8.5,5.0,2,L,2018,Escola Pública,Ametista
-2,7.3,8.7,6.3,6.026,5.0,5.1,8.0,5.833,8.0,5.0,0,G,2019,Escola Pública,Ágata
-1,8.0,6.0,6.3,7.461,7.5,9.7,7.0,7.722,7.5,5.0,1,A,2022,Escola Pública,Ametista
-1,6.2,9.7,6.3,7.594,7.5,9.2,7.9,7.167,9.0,5.0,1,M,2021,Escola Pública,Ametista
0,4.0,4.0,3.0,7.11,7.5,7.5,3.7,7.208,9.6,10.0,3,F,2022,Escola Pública,Ametista
0,9.0,7.0,6.3,7.961,4.4,9.2,8.0,8.722,6.9,10.0,2,A,2019,Rede Decisão,Ametista
0,6.5,5.3,9.2,7.502,7.5,8.5,7.0,5.583,7.9,10.0,3,D,2018,Escola Pública,Ametista
0,6.5,8.0,6.3,8.064,7.5,9.7,7.3,7.333,9.0,10.0,0,O,2022,Escola Pública,Topázio
